Country,Military Index,Military Budget,Active Troops,Aircraft,War Ships,Nuclear Warheads
Sierra Leone,13.6,0.0,8000.0,1,0,0
Belize,13.4,0.0,2000.0,3,0,0
Luxembourg,13.2,900000000.0,1000.0,1,0,0
Suriname,11.5,0.0,2000.0,3,0,0
Seychelles,11.0,0.0,0.0,4,0,0
Bahamas,9.8,0.0,1000.0,2,0,0
Eswatini,8.4,100000000.0,0.0,5,0,0
Gambia,8.1,0.0,1000.0,1,0,0
Antigua and Barbuda,7.4,0.0,0.0,2,0,0
Maldives,4.7,0.0,0.0,4,0,0
Bhutan,3.8,0.0,0.0,2,0,0
